"filename", "language", "Dart", "Markdown", "comment", "blank", "total"
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\auth_gate.dart", "Dart", 26, 0, 0, 6, 32
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\common\README.md", "Markdown", 0, 8, 0, 4, 12
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\common\enums\language_type.dart", "Dart", 11, 0, 0, 2, 13
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\common\enums\lesson_status.dart", "Dart", 4, 0, 0, 3, 7
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\common\enums\password_strength.dart", "Dart", 1, 0, 0, 1, 2
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\common\enums\user_role.dart", "Dart", 15, 0, 0, 2, 17
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\common\extensions\lession_status.dart", "Dart", 66, 0, 1, 6, 73
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\common\extensions\theme_helper.dart", "Dart", 34, 0, 12, 13, 59
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\common\type_def\typesdef.dart", "Dart", 1, 0, 8, 5, 14
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\constants\README.md", "Markdown", 0, 10, 0, 4, 14
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\constants\app_constants.dart", "Dart", 108, 0, 12, 18, 138
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\constants\app_strings.dart", "Dart", 21, 0, 2, 3, 26
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\constants\assets_constants.dart", "Dart", 19, 0, 4, 4, 27
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\constants\endpoints.dart", "Dart", 26, 0, 3, 5, 34
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\di\README.md", "Markdown", 0, 8, 0, 4, 12
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\di\service_locator.dart", "Dart", 181, 0, 5, 50, 236
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\errors\README.md", "Markdown", 0, 9, 0, 4, 13
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\errors\exception.dart", "Dart", 8, 0, 3, 5, 16
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\errors\exceptions.dart", "Dart", 18, 0, 0, 6, 24
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\errors\failure.dart", "Dart", 13, 0, 0, 4, 17
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\network\README.md", "Markdown", 0, 12, 0, 4, 16
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\network\api_service.dart", "Dart", 47, 0, 0, 8, 55
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\network\check_internet.dart", "Dart", 5, 0, 0, 2, 7
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\network\dio_error_handler.dart", "Dart", 41, 0, 3, 12, 56
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\network\end_points.dart", "Dart", 0, 0, 0, 1, 1
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\network\execute_request.dart", "Dart", 18, 0, 4, 3, 25
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\network\initial_dio.dart", "Dart", 56, 0, 4, 8, 68
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\routes\README.md", "Markdown", 0, 10, 0, 4, 14
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\routes\appRouters.dart", "Dart", 101, 0, 0, 6, 107
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\routes\authGuard.dart", "Dart", 0, 0, 29, 7, 36
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\routes\navigatorKey.dart", "Dart", 2, 0, 0, 2, 4
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\routes\paths_routes.dart", "Dart", 10, 0, 0, 1, 11
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\theme\README.md", "Markdown", 0, 10, 0, 4, 14
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\theme\animation.dart", "Dart", 91, 0, 1, 10, 102
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\theme\app_shadows.dart", "Dart", 42, 0, 0, 9, 51
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\theme\colors.dart", "Dart", 45, 0, 6, 15, 66
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\theme\styles.dart", "Dart", 82, 0, 2, 22, 106
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\theme\theme.dart", "Dart", 225, 0, 20, 22, 267
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\theme\theme_provider.dart", "Dart", 29, 0, 0, 8, 37
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\usecase\usecase.dart", "Dart", 5, 0, 1, 3, 9
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\userCases\README.md", "Markdown", 0, 8, 0, 4, 12
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\userCases\no_param_use_case.dart", "Dart", 5, 0, 0, 2, 7
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\userCases\use_case.dart", "Dart", 5, 0, 0, 2, 7
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\userCases\usecase.dart", "Dart", 6, 0, 0, 3, 9
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\utils\README.md", "Markdown", 0, 10, 0, 4, 14
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\utils\cache\per_caching_for_images.dart", "Dart", 0, 0, 0, 2, 2
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\utils\cache\shared_pref.dart", "Dart", 40, 0, 21, 16, 77
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\utils\functions\check_user_auth_token.dart", "Dart", 24, 0, 0, 5, 29
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\utils\functions\share_product.dart", "Dart", 0, 0, 23, 4, 27
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\utils\functions\user_friendly_error.dart", "Dart", 35, 0, 0, 8, 43
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\utils\hive\hive_data.dart", "Dart", 35, 0, 5, 8, 48
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\utils\hive\hive_setup.dart", "Dart", 42, 0, 0, 5, 47
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\utils\hive\init_hive.dart", "Dart", 28, 0, 0, 6, 34
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\utils\hive\token_storage.dart", "Dart", 20, 0, 0, 5, 25
