Date : 2026-05-26 09:00:31
Directory : /home/bashar/Projects/algonaid_mobile_app
Total : 329 files,  64684 codes, 813 comments, 2646 blanks, all 68143 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          8 |     44,966 |          0 |          4 |     44,970 |
| Dart       |        251 |     17,638 |        544 |      2,220 |     20,402 |
| XML        |         22 |        619 |         53 |         18 |        690 |
| C++        |         12 |        532 |        117 |        169 |        818 |
| CMake      |          6 |        432 |          0 |         82 |        514 |
| Markdown   |         19 |        297 |          0 |         87 |        384 |
| HTML       |          1 |         84 |         15 |         29 |        128 |
| YAML       |          3 |         59 |         80 |         18 |        157 |
| Swift      |          5 |         49 |          4 |         17 |         70 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |        329 |     64,684 |        813 |      2,646 |     68,143 |
| . (Files)                                                                                                                      |          8 |        339 |         80 |         66 |        485 |
| .idea                                                                                                                          |          5 |         85 |          0 |          3 |         88 |
| .idea (Files)                                                                                                                  |          2 |         45 |          0 |          2 |         47 |
| .idea/libraries                                                                                                                |          2 |         34 |          0 |          1 |         35 |
| .idea/runConfigurations                                                                                                        |          1 |          6 |          0 |          0 |          6 |
| android                                                                                                                        |         10 |        104 |         51 |         12 |        167 |
| android (Files)                                                                                                                |          2 |         32 |          0 |          2 |         34 |
| android/app                                                                                                                    |          7 |         67 |         51 |          9 |        127 |
| android/app/src                                                                                                                |          7 |         67 |         51 |          9 |        127 |
| android/app/src/debug                                                                                                          |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                                                           |          5 |         61 |         43 |          7 |        111 |
| android/app/src/main (Files)                                                                                                   |          1 |         35 |         11 |          1 |         47 |
| android/app/src/main/res                                                                                                       |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                                              |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                          |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                                |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                          |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                                        |          1 |          3 |          4 |          1 |          8 |
| android/gradle                                                                                                                 |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                                         |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                         |          9 |     44,724 |          0 |          1 |     44,725 |
| assets/lottie                                                                                                                  |          4 |     44,718 |          0 |          0 |     44,718 |
| assets/svg                                                                                                                     |          5 |          6 |          0 |          1 |          7 |
| ios                                                                                                                            |          8 |        240 |          4 |         13 |        257 |
| ios/Runner                                                                                                                     |          7 |        233 |          2 |          9 |        244 |
| ios/Runner (Files)                                                                                                             |          2 |         13 |          0 |          3 |         16 |
| ios/Runner/Assets.xcassets                                                                                                     |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                                  |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                                |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                          |          2 |         72 |          2 |          2 |         76 |
| ios/RunnerTests                                                                                                                |          1 |          7 |          2 |          4 |         13 |
| lib                                                                                                                            |        264 |     17,655 |        534 |      2,251 |     20,440 |
| lib (Files)                                                                                                                    |          2 |        119 |          9 |         16 |        144 |
| lib/core                                                                                                                       |         70 |      2,882 |        233 |        515 |      3,630 |
| lib/core/common                                                                                                                |          8 |        140 |         21 |         36 |        197 |
| lib/core/common (Files)                                                                                                        |          1 |          8 |          0 |          4 |         12 |
| lib/core/common/enums                                                                                                          |          4 |         31 |          0 |          8 |         39 |
| lib/core/common/extensions                                                                                                     |          2 |        100 |         13 |         19 |        132 |
| lib/core/common/type_def                                                                                                       |          1 |          1 |          8 |          5 |         14 |
| lib/core/constants                                                                                                             |          5 |        191 |         21 |         33 |        245 |
| lib/core/di                                                                                                                    |          2 |        244 |          5 |         67 |        316 |
| lib/core/errors                                                                                                                |          3 |         40 |          0 |         14 |         54 |
| lib/core/network                                                                                                               |          6 |        179 |         11 |         37 |        227 |
| lib/core/routes                                                                                                                |          5 |        133 |         47 |         28 |        208 |
| lib/core/theme                                                                                                                 |          7 |        524 |         29 |         90 |        643 |
| lib/core/usecase                                                                                                               |          1 |          5 |          1 |          3 |          9 |
| lib/core/userCases                                                                                                             |          4 |         24 |          0 |         11 |         35 |
| lib/core/utils                                                                                                                 |         16 |        435 |         76 |        108 |        619 |
| lib/core/utils (Files)                                                                                                         |          1 |         10 |          0 |          4 |         14 |
| lib/core/utils/cache                                                                                                           |          2 |         40 |         21 |         18 |         79 |
| lib/core/utils/functions                                                                                                       |          3 |         59 |         23 |         17 |         99 |
| lib/core/utils/hive                                                                                                            |          4 |        125 |          5 |         24 |        154 |
| lib/core/utils/platform                                                                                                        |          3 |         11 |          0 |          5 |         16 |
| lib/core/utils/providers                                                                                                       |          1 |         56 |          1 |          5 |         62 |
| lib/core/utils/validations                                                                                                     |          2 |        134 |         26 |         35 |        195 |
| lib/core/widgets                                                                                                               |         13 |        967 |         22 |         88 |      1,077 |
| lib/core/widgets (Files)                                                                                                       |          1 |         11 |          0 |          4 |         15 |
| lib/core/widgets/buttons                                                                                                       |          1 |         33 |          0 |          5 |         38 |
| lib/core/widgets/loading                                                                                                       |          3 |        220 |          9 |         16 |        245 |
| lib/core/widgets/shared                                                                                                        |          8 |        703 |         13 |         63 |        779 |
| lib/features                                                                                                                   |        192 |     14,654 |        292 |      1,720 |     16,666 |
| lib/features/auth                                                                                                              |         16 |        809 |         41 |        107 |        957 |
| lib/features/auth/data                                                                                                         |          3 |        185 |          3 |         21 |        209 |
| lib/features/auth/data/datasources                                                                                             |          1 |         55 |          1 |          7 |         63 |
| lib/features/auth/data/models                                                                                                  |          1 |         43 |          1 |          7 |         51 |
| lib/features/auth/data/repositories                                                                                            |          1 |         87 |          1 |          7 |         95 |
| lib/features/auth/domain                                                                                                       |          5 |         94 |          3 |         16 |        113 |
| lib/features/auth/domain/entities                                                                                              |          1 |         17 |          1 |          2 |         20 |
| lib/features/auth/domain/repositories                                                                                          |          1 |         17 |          0 |          2 |         19 |
| lib/features/auth/domain/usecases                                                                                              |          3 |         60 |          2 |         12 |         74 |
| lib/features/auth/presentation                                                                                                 |          8 |        530 |         35 |         70 |        635 |
| lib/features/auth/presentation/pages                                                                                           |          1 |        180 |         21 |         20 |        221 |
