Date : 2026-05-28 09:44:00
Directory : /home/bashar/Projects/algonaid_mobile_app/lib
Total : 131 files,  -44938 codes, -231 comments, -270 blanks, all -45439 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         70 |      1,988 |         38 |        104 |      2,130 |
| Properties |          2 |         -8 |          0 |         -2 |        -10 |
| Swift      |          5 |        -49 |         -4 |        -17 |        -70 |
| YAML       |          3 |        -59 |        -80 |        -18 |       -157 |
| HTML       |          1 |        -84 |        -15 |        -29 |       -128 |
| Markdown   |          2 |       -177 |          0 |        -35 |       -212 |
| CMake      |          6 |       -432 |          0 |        -82 |       -514 |
| C++        |         12 |       -532 |       -117 |       -169 |       -818 |
| XML        |         22 |       -619 |        -53 |        -18 |       -690 |
| JSON       |          8 |    -44,966 |          0 |         -4 |    -44,970 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |        131 |    -44,938 |       -231 |       -270 |    -45,439 |
| ..                                                                                                                             |         65 |    -47,029 |       -279 |       -395 |    -47,703 |
| .. (Files)                                                                                                                     |          8 |       -339 |        -80 |        -66 |       -485 |
| ../.idea                                                                                                                       |          5 |        -85 |          0 |         -3 |        -88 |
| ../.idea (Files)                                                                                                               |          2 |        -45 |          0 |         -2 |        -47 |
| ../.idea/libraries                                                                                                             |          2 |        -34 |          0 |         -1 |        -35 |
| ../.idea/runConfigurations                                                                                                     |          1 |         -6 |          0 |          0 |         -6 |
| ../android                                                                                                                     |         10 |       -104 |        -51 |        -12 |       -167 |
| ../android (Files)                                                                                                             |          2 |        -32 |          0 |         -2 |        -34 |
| ../android/app                                                                                                                 |          7 |        -67 |        -51 |         -9 |       -127 |
| ../android/app/src                                                                                                             |          7 |        -67 |        -51 |         -9 |       -127 |
| ../android/app/src/debug                                                                                                       |          1 |         -3 |         -4 |         -1 |         -8 |
| ../android/app/src/main                                                                                                        |          5 |        -61 |        -43 |         -7 |       -111 |
| ../android/app/src/main (Files)                                                                                                |          1 |        -35 |        -11 |         -1 |        -47 |
| ../android/app/src/main/res                                                                                                    |          4 |        -26 |        -32 |         -6 |        -64 |
| ../android/app/src/main/res/drawable                                                                                           |          1 |         -4 |         -7 |         -2 |        -13 |
| ../android/app/src/main/res/drawable-v21                                                                                       |          1 |         -4 |         -7 |         -2 |        -13 |
| ../android/app/src/main/res/values                                                                                             |          1 |         -9 |         -9 |         -1 |        -19 |
| ../android/app/src/main/res/values-night                                                                                       |          1 |         -9 |         -9 |         -1 |        -19 |
| ../android/app/src/profile                                                                                                     |          1 |         -3 |         -4 |         -1 |         -8 |
| ../android/gradle                                                                                                              |          1 |         -5 |          0 |         -1 |         -6 |
| ../android/gradle/wrapper                                                                                                      |          1 |         -5 |          0 |         -1 |         -6 |
| ../assets                                                                                                                      |          9 |    -44,724 |          0 |         -1 |    -44,725 |
| ../assets/lottie                                                                                                               |          4 |    -44,718 |          0 |          0 |    -44,718 |
| ../assets/svg                                                                                                                  |          5 |         -6 |          0 |         -1 |         -7 |
| ../ios                                                                                                                         |          8 |       -240 |         -4 |        -13 |       -257 |
| ../ios/Runner                                                                                                                  |          7 |       -233 |         -2 |         -9 |       -244 |
| ../ios/Runner (Files)                                                                                                          |          2 |        -13 |          0 |         -3 |        -16 |
| ../ios/Runner/Assets.xcassets                                                                                                  |          3 |       -148 |          0 |         -4 |       -152 |
| ../ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                               |          1 |       -122 |          0 |         -1 |       -123 |
| ../ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                             |          2 |        -26 |          0 |         -3 |        -29 |
| ../ios/Runner/Base.lproj                                                                                                       |          2 |        -72 |         -2 |         -2 |        -76 |
| ../ios/RunnerTests                                                                                                             |          1 |         -7 |         -2 |         -4 |        -13 |
| ../linux                                                                                                                       |          6 |       -314 |        -32 |        -79 |       -425 |
| ../linux (Files)                                                                                                               |          1 |       -111 |          0 |        -27 |       -138 |
| ../linux/flutter                                                                                                               |          1 |        -79 |          0 |        -10 |        -89 |
| ../linux/runner                                                                                                                |          4 |       -124 |        -32 |        -42 |       -198 |
| ../macos                                                                                                                       |          5 |       -441 |         -2 |        -13 |       -456 |
| ../macos/Runner                                                                                                                |          4 |       -434 |          0 |         -9 |       -443 |
| ../macos/Runner (Files)                                                                                                        |          2 |        -23 |          0 |         -7 |        -30 |
| ../macos/Runner/Assets.xcassets                                                                                                |          1 |        -68 |          0 |         -1 |        -69 |
| ../macos/Runner/Assets.xcassets/AppIcon.appiconset                                                                             |          1 |        -68 |          0 |         -1 |        -69 |
| ../macos/Runner/Base.lproj                                                                                                     |          1 |       -343 |          0 |         -1 |       -344 |
| ../macos/RunnerTests                                                                                                           |          1 |         -7 |         -2 |         -4 |        -13 |
| ../test                                                                                                                        |          1 |        -14 |        -10 |         -7 |        -31 |
| ../web                                                                                                                         |          2 |       -119 |        -15 |        -30 |       -164 |
| ../windows                                                                                                                     |         11 |       -649 |        -85 |       -171 |       -905 |
