Date : 2026-05-28 09:44:00
Directory : /home/bashar/Projects/algonaid_mobile_app/lib
Total : 273 files,  19746 codes, 582 comments, 2376 blanks, all 22704 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        256 |     19,626 |        582 |      2,324 |     22,532 |
| Markdown |         17 |        120 |          0 |         52 |        172 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |        273 |     19,746 |        582 |      2,376 |     22,704 |
| . (Files)                                                                                                                      |          2 |        119 |          9 |         16 |        144 |
| core                                                                                                                           |         71 |      2,947 |        236 |        523 |      3,706 |
| core/common                                                                                                                    |          8 |        140 |         21 |         36 |        197 |
| core/common (Files)                                                                                                            |          1 |          8 |          0 |          4 |         12 |
| core/common/enums                                                                                                              |          4 |         31 |          0 |          8 |         39 |
| core/common/extensions                                                                                                         |          2 |        100 |         13 |         19 |        132 |
| core/common/type_def                                                                                                           |          1 |          1 |          8 |          5 |         14 |
| core/constants                                                                                                                 |          5 |        201 |         21 |         33 |        255 |
| core/di                                                                                                                        |          2 |        261 |          5 |         70 |        336 |
| core/errors                                                                                                                    |          3 |         40 |          0 |         14 |         54 |
| core/network                                                                                                                   |          6 |        185 |         11 |         38 |        234 |
| core/routes                                                                                                                    |          5 |        151 |         50 |         31 |        232 |
| core/theme                                                                                                                     |          8 |        531 |         29 |         91 |        651 |
| core/usecase                                                                                                                   |          1 |          5 |          1 |          3 |          9 |
| core/userCases                                                                                                                 |          4 |         24 |          0 |         11 |         35 |
| core/utils                                                                                                                     |         16 |        437 |         76 |        108 |        621 |
| core/utils (Files)                                                                                                             |          1 |         10 |          0 |          4 |         14 |
| core/utils/cache                                                                                                               |          2 |         40 |         21 |         18 |         79 |
| core/utils/functions                                                                                                           |          3 |         59 |         23 |         17 |         99 |
| core/utils/hive                                                                                                                |          4 |        125 |          5 |         24 |        154 |
| core/utils/platform                                                                                                            |          3 |         11 |          0 |          5 |         16 |
